ID	ShortNameRow1	ShortNameRow2	Type	Flag0100	Flag1000	Name	Notes
0			General			<nothing>	
1	Weapn	enrgy	General			Weapon energy	
2	Enemy	Behem	Egg1			Enemy - Behemoth	
3	?		Unsure			<nothing?>	
4	Smoke		Misc			Smoke	
5	Enemy	CrtHG	Egg1			Enemy - Critter (hopping, green)	
6	Enemy	BtlHG	Egg1			Enemy - Beetle (horiz, green)	
7	Enemy	Basil	Egg1			Enemy - Basil	
8	Enemy	BtlF1	Egg1			Enemy - Beetle (follow 1)	
9	Blrg	drop	Balrog			Balrog (drops in)	
10	Boss	Blrg0	Balrog			Boss - Balrog (shooting)	
11	Proj	Blrg1	Balrog			Projectile - Balrog (energy shot)	
12	Blrg		Balrog			Balrog (cutscene)	
13	Force	field	Misc			Forcefield	Impassable
14	Santa	Key	Misc			Santa's Key	
15	Chest	closd	General			Treasure chest (closed)	
16	Save	point	General			Save point	
17	Refil		General			Health/ammo refill	
18	Door		General			Door	
19	Blrg	bust	Balrog			Balrog (busts in)	
20	Compu		Misc			Computer	
21	Chest	open	General		One tile down	Treasure chest (open)	
22	Telep		Misc			Teleporter	
23	Telep	light	Misc			Teleporter lights	
24	Enemy	PCrit	Grasstown			Enemy - Power Critter	
25	Lift	platf	Misc			Lift platform	
26	Enemy	BatBC	Grasstown			Enemy - Bat (black, circling)	
27	Death	trap	Misc			Deathtrap	
28	Enemy	CrtFy	Grasstown			Enemy - Critter (flying)	
29	Cthu		Characters			Cthulhu	
30	Hermt	Gunsm	Characters			Hermit Gunsmith	
31	Enemy	BatBH	Grasstown			Enemy - Bat (black, hanging)	
32	Capsl	life	General			Life Capsule	Just sprite, needs script to adjust health
33	Proj	Blrg2	Balrog			Projectile - Balrog (energy bounce)	
34	Bed		General			Bed	
35	Enemy	Manan	Grasstown			Enemy - Mannan	
36	Boss	Blrg2	Balrog			Boss - Balrog (hovering)	
37	Sign	post	General			Signpost	
38	Fire	place	Misc			Fireplace fire	
39	Save	sign	Misc		Cocktail sign	Save sign	
40	Santa		Characters			Santa	
41	Door	bustd	Misc			Busted doorway	
42	Sue		Characters			Sue	
43	Black	board	Misc			Blackboard	
44	Enemy	Polsh	Sand Zone			Enemy - Polish	
45	Enemy	Baby	Sand Zone			Enemy - Baby	
46	H/V	trigr	General	Follow player	Vertical	Horiz/vert trigger	
47	Enemy	ScrcG	Sand Zone			Enemy - Sandcroc (green)	
48	Proj	Omega	Sand Zone			Projectile - Omega	
49	Enemy	SkulH	Sand Zone			Enemy - Skullhead	
50	Proj	SkulH	Sand Zone			Projectile - Skeleton	
51	Enemy	CrowS	Sand Zone			Enemy - Crow & Skullhead	
52	BRobt	sit	Misc			Blue robot (sitting)	
53	CRASH		Crash			<CRASH>	
54	Enemy	SkulS	Sand Zone			Enemy - Skullstep	
55	Kazum		Characters			Kazuma	
56	Enemy	BtlHB	Sand Zone			Enemy - Beetle (horiz, brown)	
57	Enemy	Crow	Sand Zone			Enemy - Crow	
58	Enemy	Basu1	Egg1			Enemy - Basu (1)	
59	Enemy	Door	Misc			Enemy - Door	
60	Torok		Characters			Toroko	
61	King		Characters			King	
62	Kazum	compu	Characters			Kazuma (computer)	
63	Torok	attck	Characters			Toroko (attacking)	
64	Enemy	CrtHB	First Cave			Enemy - Critter (hopping, blue)	
65	Enemy	BatBu	First Cave			Enemy - Bat (blue)	
66	Bubbl		Unsure			Bubble - Misery capturing Toroko?	
67	Msry	float	Misery			Misery (floating)	
68	Boss	Blrg1	Balrog			Boss - Balrog (running)	
69	Enemy	Pign	Graveyard			Enemy - Pignon	
70	Spark	item	General			Sparkling item	
71	Enemy	Chinf	Misc			Enemy - Chinfish	
72	Sprnk		Misc			Sprinkler	
73	Water	drop	Misc			Water drop	
74	Jack		Characters			Jack	
75	Kanpa	fishn	Characters			Kanpachi (fishing)	
76	Flowr		Yamashita Farm			Flowers	
77	Sanda	pavil	Yamashita Farm			Sandaime's pavilion	
78	Pot		Misc			Pot	
79	Mahin		Characters			Mahin	
80	Enemy	GravK	Graveyard			Enemy - Gravekeeper	
81	Enemy	GPign	Graveyard			Enemy - Giant Pignon	
82	Msry	stand	Misery			Misery (standing)	
83	Igor		Mimiga			Igor (cutscene)	
84	Proj	Basu1	Egg1			Projectile - Basu (1)	
85	Termn		Misc			Terminal	
86	Missl		General			Missile	
87	Heart		General		No flash	Heart	
88	Boss	Igor	Mimiga			Boss - Igor	
89	Dead	Igor	Mimiga			Igor (defeated)	
90	Backg		Unsure			Background?	
91	Cage		Misc			Cage	
92	Sue	compu	Characters			Sue (computer)	
93	Chaco		Characters			Chaco	
